,open,close,prediction,action,gp,var,cvar
2024-09-15 18:45:00,2408.0,2406.86,2405.077,sell,0.0004736461613886444,-0.0017093256138008912,-0.0015322651015098692
2024-09-15 19:00:00,2406.86,2406.77,2404.692,sell,3.7394516301992094e-05,-0.0017063409459104177,-0.001533576660860173
2024-09-15 19:15:00,2406.76,2410.79,2405.1553,sell,-0.0016716512014732703,-0.001703356278019944,-0.0015348469864855426
2024-09-15 19:30:00,2410.8,2410.0,2405.4707,sell,0.0003319502074689551,-0.0017003716101294704,-0.001536076981314261
2024-09-15 19:45:00,2409.99,2410.81,2403.4595,sell,-0.00034013464354310945,-0.0016973869422389968,-0.001537267522102777
2024-09-15 20:00:00,2410.8,2415.05,2404.35,sell,-0.0017597979337901906,-0.0017515453127436554,-0.0015384194603771384
2024-09-15 20:15:00,2415.05,2413.4,2417.068,buy,-0.0006832156684126999,-0.001751110964267522,-0.001539941787894042
2024-09-15 20:30:00,2413.4,2415.19,2417.068,buy,0.0007416922184469891,-0.0017481262963770481,-0.0015414394416271874
2024-09-15 20:45:00,2415.18,2410.4,2413.6157,sell,0.0019830733488216666,-0.0017451416284865746,-0.0015428949828578203
2024-09-15 21:00:00,2410.39,2404.2,2412.2532,buy,-0.002568049153871388,-0.0017584948883617904,-0.0015443092950650143
2024-09-15 21:15:00,2404.19,2403.97,2414.8357,buy,-9.150691085157773e-05,-0.0017580605398856569,-0.001545796695018464
2024-09-15 21:30:00,2404.0,2406.77,2405.8535,buy,0.0011522462562395931,-0.0017576261914095234,-0.001547260583603755
2024-09-15 21:45:00,2406.77,2411.79,2405.784,sell,-0.0020814415848809317,-0.0017869949430773524,-0.0015487014439311915
2024-09-15 22:00:00,2411.79,2408.0,2407.6033,sell,0.0015739202657807157,-0.0017850522995568408,-0.0015503224881430703
2024-09-15 22:15:00,2408.01,2408.79,2409.6477,buy,0.0003239189206023834,-0.0017831096560363292,-0.0015519085003823524
2024-09-15 22:30:00,2408.79,2412.01,2410.1963,buy,0.0013367707438175411,-0.0017811670125158178,-0.0015534601859907684
2024-09-15 22:45:00,2412.0,2408.71,2411.4531,sell,0.0013658763404477763,-0.0017792243689953061,-0.0015549782315009354
2024-09-15 23:00:00,2408.72,2400.6,2411.4531,buy,-0.003371085057623921,-0.0018419432182849333,-0.0015564633052591763
2024-09-15 23:15:00,2400.6,2395.64,2409.4404,buy,-0.002066150129134398,-0.001915024181423511,-0.0015583414625817144
2024-09-15 23:30:00,2395.64,2393.26,2402.557,buy,-0.000993471473176126,-0.0019125031798496559,-0.0015606727221819875
2024-09-15 23:45:00,2393.27,2388.01,2395.2483,buy,-0.002197829747583751,-0.0019497750500053572,-0.0015629573355434659
2024-09-16 00:00:00,2388.0,2383.02,2393.7834,buy,-0.0020854271356783994,-0.0019742760196521875,-0.0015654529337012844
2024-09-16 00:15:00,2383.02,2382.79,2388.7656,buy,-9.651618534465435e-05,-0.0019714752889140948,-0.001568073594508662
2024-09-16 00:30:00,2382.79,2379.35,2387.6738,buy,-0.0014436857633278865,-0.0019686745581760016,-0.0015706430320526455
2024-09-16 00:45:00,2379.35,2383.36,2385.5896,buy,0.0016853342299368392,-0.0019658738274379085,-0.001573162218926844
2024-09-16 01:00:00,2383.35,2379.98,2385.0796,buy,-0.0014139761260410309,-0.0019630730966998153,-0.001575632103257102
2024-09-16 01:15:00,2379.99,2380.72,2382.8245,buy,0.0003067239778318473,-0.001960272365961722,-0.0015780536094661193
2024-09-16 01:30:00,2380.72,2366.57,2382.8245,buy,-0.0059435800934169655,-0.002013486249985491,-0.00158042763900957
2024-09-16 01:45:00,2366.57,2380.61,2383.7969,buy,0.005932636685160364,-0.002010685519247398,-0.0015831008403118906
2024-09-16 02:00:00,2380.61,2381.41,2367.4858,sell,-0.0003359354332096225,-0.002007884788509305,-0.0015857240592010657
2024-09-16 02:15:00,2381.4,2373.05,2381.4668,buy,-0.0035063408079280714,-0.0020561774994522354,-0.0015882982099895302
2024-09-16 02:30:00,2373.06,2374.7,2380.788,buy,0.0006910908278761906,-0.0020536843420316947,-0.0015911338420468801
2024-09-16 02:45:00,2374.7,2372.35,2372.7456,sell,0.0009905789617889052,-0.002051191184611154,-0.0015939202908419694
2024-09-16 03:00:00,2372.34,2368.07,2373.6367,buy,-0.0017999106367552634,-0.0020486980271906133,-0.0015966584399064556
2024-09-16 03:15:00,2368.08,2357.5,2373.305,buy,-0.004467754467754437,-0.002073655102545701,-0.001599349151735528
2024-09-16 03:30:00,2357.5,2361.65,2372.3574,buy,0.0017603393425238987,-0.0020730296880947592,-0.001602155695823162
2024-09-16 03:45:00,2361.66,2363.06,2364.693,buy,0.0005928033671231638,-0.002072404273643817,-0.0016049255428365243
2024-09-16 04:00:00,2363.06,2339.31,2363.7336,buy,-0.010050527705602058,-0.0020799108431806992,-0.0016076593365839356
2024-09-16 04:15:00,2339.32,2341.79,2363.1138,buy,0.001055862387360344,-0.0020797716848443143,-0.0016104049848781029
2024-09-16 04:30:00,2341.79,2346.4,2333.8225,sell,-0.001964711899079495,-0.00207963252650793,-0.0016131180871900462
2024-09-16 04:45:00,2346.4,2353.08,2333.742,sell,-0.0028388325088819066,-0.002082637250120172,-0.0016157992046573902
2024-09-16 05:00:00,2353.08,2348.18,2345.787,sell,0.0020867224829442766,-0.0020824379725802988,-0.0016184668506314633
2024-09-16 05:15:00,2348.18,2346.75,2355.6045,buy,-0.0006089822756346772,-0.002082238695040425,-0.0016211030501879907
2024-09-16 05:30:00,2346.76,2347.16,2344.8767,sell,-0.00017041871879191713,-0.002082039417500552,-0.0016237083363171007
2024-09-16 05:45:00,2347.15,2346.42,2346.7507,sell,0.0003111122475942151,-0.0020818401399606786,-0.0016262832300316145
2024-09-16 06:00:00,2346.4,2311.4,2351.8691,buy,-0.014916467780429593,-0.0020910472662736667,-0.0016288282407016092
2024-09-16 06:15:00,2311.41,2327.61,2347.6003,buy,0.007008708969849691,-0.0020854271356783994,-0.0016313961241770094
2024-09-16 06:30:00,2327.6,2317.71,2322.1829,sell,0.00426714299890835,-0.002085227858138526,-0.0016339045828040889
2024-09-16 06:45:00,2317.71,2316.1,2319.9854,buy,-0.0006946511858688651,-0.0020850285805986525,-0.0016363843810202122
2024-09-16 07:00:00,2316.09,2311.25,2316.461,buy,-0.0020897288101931035,-0.002089083559015898,-0.001638835988668182
2024-09-16 07:15:00,2311.24,2307.18,2321.1853,buy,-0.001756632803170569,-0.0020888684752901625,-0.0016412829863331154
2024-09-16 07:30:00,2307.18,2308.6,2307.0889,sell,-0.0006150913973837273,-0.0020886533915644274,-0.0016437023673545046
2024-09-16 07:45:00,2308.61,2300.04,2304.349,sell,0.0037260221561364864,-0.0020884383078386922,-0.001646094577162085
2024-09-16 08:00:00,2300.03,2285.08,2309.9917,buy,-0.006499915218497268,-0.0021599944194970245,-0.0016484600516576819
2024-09-16 08:15:00,2285.08,2293.08,2306.6394,buy,0.003500971519596688,-0.002154589372627492,-0.0016511809791461887
2024-09-16 08:30:00,2293.08,2280.78,2274.12,sell,0.005392891905400664,-0.0021491843257579594,-0.0016538445156196347
2024-09-16 08:45:00,2280.79,2277.58,2295.3542,buy,-0.001407407082633665,-0.0021437792788884273,-0.0016564515672519416
2024-09-16 09:00:00,2277.58,2272.0,2264.0498,sell,0.0024559859154929258,-0.0021383742320188947,-0.0016590030212395672
2024-09-16 09:15:00,2272.0,2278.03,2265.7136,sell,-0.002647023963688011,-0.0023459175100988055,-0.0016614997462957098
2024-09-16 09:30:00,2278.03,2272.07,2261.822,sell,0.002623158617472189,-0.002327406539784424,-0.0016650459523257775
2024-09-16 09:45:00,2272.16,2261.26,2262.0134,sell,0.00482032141372493,-0.002308895569470042,-0.0016684601821580387
2024-09-16 10:00:00,2261.27,2270.01,2260.393,sell,-0.0038502033030692532,-0.0025877928563255437,-0.0016717444661955361
2024-09-16 10:15:00,2270.01,2272.67,2257.3477,sell,-0.0011704294948232054,-0.0025838441158347126,-0.0016764181824717097
2024-09-16 10:30:00,2272.67,2273.4,2256.0696,sell,-0.00032110495293393956,-0.0025798953753438814,-0.0016810244054837047
2024-09-16 10:45:00,2273.41,2278.38,2266.015,sell,-0.0021813744853800745,-0.0025759466348530503,-0.0016855641578567358
2024-09-16 11:00:00,2278.38,2279.7,2261.2148,sell,-0.0005790235557308896,-0.002571997894362219,-0.0016900384416607373
